;point_id;X;Y
0;51.0;-73.05881196;-36.83136932
1;117.0;-73.03674465;-36.82080835
2;129.0;-73.02993172;-36.81489213
3;150.0;-73.03866605;-36.82673847
4;158.0;-73.03627541;-36.8227047
5;175.0;-73.05640182;-36.83395757
6;191.0;-73.06060273;-36.83068538
7;196.0;-73.06224123;-36.8282191
8;216.0;-73.05612088;-36.83632414
9;256.0;-73.05256229;-36.82228182
10;267.0;-73.04172748;-36.82160049
11;287.0;-73.05694148;-36.82534655
12;319.0;-73.05149899;-36.8263183
13;326.0;-73.04846346;-36.83091126
14;353.0;-73.04762696;-36.81497138
15;364.0;-73.03643838;-36.82005775
16;371.0;-73.04424435;-36.81628694
17;454.0;-73.06894423;-36.81325692
18;491.0;-73.04763776;-36.80844032
19;552.0;-73.01393276;-36.8203977
